autor_comentarios,corpo_comentarios,data_comentarios,endereco_comentarios,titulo_comentarios
Kristen W,It was not destroyed by the 1755 earthquake or tsunami like a lot of Lisbon was which makes it really cool. The inside is beautiful and if you at the alter you might be able to see R2D2 (I'm not lying). The staff inside was rude though which was surprising. Definitely worth a look. ,"Written April 4, 2016","Sedona, AZ",Beautiful
grantttravel,"This is probably one of the most architecturally detailed places I have ever been to. The detailed homage to the age of discovery, there is a room that traces the 500 year history that was very fascinating.  Tip: it's free the first Sunday of every month!","Written April 3, 2016","Austin, TX",Amazing architecture
Andre_Fortin,"   This is one of the best monastery I have seen in my life.  If you go to Lisbon, you have to visit this monastery.","Written April 3, 2016","Montreal, Canada",Great
Lena S,Touring this monastery one feels as if you're walking back in time. The stone work archways are magnificent.,"Written April 3, 2016","Newton, MA",Beautiful Structure
LuMaLa,"Definitely a must-see when you're in Lisbon. We had a Lisboa card so we didn't have to wait in a queue to buy tickets. Beautiful church and the surrounding area, you really feel the history. Recommend! The only ""issue"" is to get there - take a tram from the Lisbon center and expect approx. 30min ride with a hundreds of tourist :)","Written April 3, 2016","Prague, Czech Republic","Magical place, you can feel the history"
Lara C,"Gorgeous place to visit, but only worth the money it if it is sunny as it is just an open area. There are two other rooms to see, one which has a history of Portugal and the monastery and the other that gives you access to the upstairs of the church that is next to the monastery (which you can see for free) ","Written April 2, 2016","Canton of Zurich, Switzerland","Gorgeous, but needs the sun"
Karen G,Be sure to keep an eye out for the nautical themes in the monetary.  The entire structure is wonderful.  It is a shame that similar buildings are not constructed today.,"Written April 2, 2016","Mobile, AL",Beautiful architecture
iroleoj,"We were here for the blessing of Portugal's newest president, but the beauty of the Mosteiro over staged the event. WOW the best was a display showing what was happening in the world from the first building to the place Amazing. ","Written March 31, 2016","Fremont, CA",Old Older Oldest
,,,,
Marilyn F,One of the best monasteries I have visited in the world.  We took a tour and the guide gave us very important information. ,"Written March 30, 2016",36 contributions,Monastery
Mabedui,"Located in Belem distrct where you'll find lots of reasons to come back! You can visit the unique gothic-Manueline church (free entrance, lots of visitors), the cloisters, the archaeological museum. Admire the sculptures, the colomns, the space looking like an oriental grotto. Choose early hours.","Written March 29, 2016",Lisboa,Don't miss it!
Letterpress,"We went on busy Sunday morning, and only toured the cathedral (time crunch).  It's a good place to begin the sightseeing for this area, as there are other good places to see in the vicinity.","Written March 29, 2016",California,Beautiful
KingFrog1,"The monastery displays some really nice architectural  work, but the prettiest section is in the church, which is free. You can pay to see the monastery portion for 10 euro but you can do package deals with the Belem Tower and museum to get better discounts. We did the Tower and the monastery for 12 euros. Vasco da Gama tomb (the explorer) is located in the church. The monastery has 2 floors that overlook a courtyard, and other rooms to see. The prettiest displays are the chapels in the church and the stained glass windows. The best place to take a picture of the entire building is across the street, near the big fountain, where you can get some of the ornately cut shrubs in the picture. You can get to the monastery using tram 15.","Written March 28, 2016","Tucson, AZ",See Vasco Da Gama
Asantos83,Worth visiting for the historical and architectural value.,"Written March 28, 2016","Birmingham, UK",Beautiful 
Guillaumeleconqueran,I recommend going after lunch when the bus tours are gone. It is absolutely gorgeous. Don't miss the cathedral next to the Monastery,"Written March 28, 2016","Montreal, Canada",Worth the wait
Adriana A,Not as big at it seems from outside. It is worthwhile to see the cloister´s stone work and the church. There are two other museums around and a new arts space with shops and parking space.,"Written March 27, 2016","Bogota, Colombia",A very beautiful cloister and church
Luiz Bausher,We visited the monastery on a rainy day so we could not appreciate the beautiful building from the outside. ,"Written March 27, 2016","London, UK",Beautiful location and full of history
Dallas Mom,"We went to the Monastery of Jeronimos  last week when we were in Belem. In the morning there was a long line but I think you can avoid this line by either buying a ticket in advance on line , a Lisbon Pass or a combined ticket at the Tower of Belem. We bought the a combined ticket at the Tower but the line was smaller in the afternoon any way. The Monastery is an amazing and unusual feat of architecture. There is an archeology museum there too but we ran out of time to get to see this.","Written March 27, 2016","Dallas, TX",Amazing building to see
Charlotte R,"We came a bit after 10, but the queue was horrible, so we decided to only visit the church and then walk around in the area. Then when we passed the monastry just after lunch, there was hardly any queue at all so we got to visit it. The atmosphere and architechture is amazing! We loved it!","Written March 26, 2016","Brussels, Belgium",Worth the wait
,,,,
canton13,You can visit the church for free but need to queue to get into the Mosteiro itself - free with a Lisbon Card. Beautiful architecture.,"Written March 26, 2016",UK,Enjoyed my visit
Philip P,The outside and the cloisters are well worth visiting. Also within walking distance of the Torre de Belem and Padrao dos Descobrimentos,"Written March 26, 2016","Clacton-on-Sea, UK",Well worth a visit
Birte L,Magnificient architecture with its lacelike dekorations. Worre waiting half an hour for in the line.It is UNESCO World heritage. The Church is NOT quite so impressive.,"Written March 26, 2016","Kongens Lyngby, Denmark",Fabulous
Rochelle B,A fantastic space - madly ornate carving.  Really interesting timeline exhibition on the history of the monastery compared with the history of Portugal and the wider world.,"Written March 25, 2016","London, UK",Completely OTT but lovely
Michael M,This is completely worth the visit.  It is at the end of the tram line in Belem but is worth travelling to.  The cloisters and church and external architecture is awe-inspiring.  ,"Written March 25, 2016",83 contributions,Remarkable architecture
DBrody,"This is a gorgeous and huge building that is seen as a ""must do"" in Belem. It was 10 euro for a ticket, but this gets you into a limited part of the grounds which are not that impressive. It's not really worth the money. The church part is free.","Written March 24, 2016","Belfast, UK",Large but not much to see
gcarmi1943,"A huge cathedral with many inner attractions. Worth a 2-3 hours visit. Beautiful masonry, extensive use of marble and sandstone to create artful decorations all around","Written March 24, 2016",Israel,Impressive Cathedral
enare,This beautiful Manuelin style church and monastery is breathtaking. This style dating from Manuel I ca 1500 is distinctly different from style in Europe at that time. Look especially at the cloister square inside. Naturally also to the entrance portal.,"Written March 24, 2016","Trondheim, Norway","Unbelievable, an absolute must do!!"
Alan F,"Luckily, we had visited the Torre de Belem first, and purchase a joint ticket there. The queue at the Monastery was long, but we went straight in. Tip - visit the Tower first, early, and get your ticket there.","Written March 24, 2016","Borehamwood, UK",Spectacular cloister
Lise L,"Confession: We went to Belem to eat pasteis de nata and wondered: what is that pompous building next to the pastry shop? It turned out to be the very famous ""mosterio"" built from taxes on the spice trade. We only enjoyed the look of the enormous and elaborate piece of fancy architecture from the outside; our mission of eating the best cakes in Lisbon could not be postponed. The sight was a wonderful bonus for the cake lovers and our pet ""galo"".","Written March 23, 2016","Copenhagen, Denmark",Fascinating mix of wealth and religion
,,,,
Roma C,"Stunning architecture outside and beautiful interior cloisters but not much else to see inside, took less than half hour at most to explore. The chapel which is free, is the best. Unfortunately absolute chaos with school parties and senior citizen coach trips. Worth combining with a recovery visit to pasteis de Belem cafe nearby although unfortunately also madly crowded.","Written March 23, 2016","Pembrokeshire, UK",Beauty on the outside
Gametotravel,"This building is worth visiting, not just for the gorgeous church and monastery courtyard/architecture, but for an exhibit that was so compelling. The history of the world, alongside the history of Portugal and the history of the monastery itself. It took me 90 minutes to walk through that exhibit and I learned you could buy the sheets documenting the timeline at the gift shop. Absolutely incredible. ","Written March 23, 2016",Massachusetts,Exceptional experience
Julia K,"I went there to visit on a Sunday. Palm Sunday that is. I was able to participate in the Palm Sunday mass and procession. What an amazing experience! The place itself is beautiful. It is quite busy mid day and there is a line to get in, so I would recommend going early. On a sunny day it is right near the water as well, so you can walk down there afterwards.","Written March 23, 2016",41 contributions,Amazing!
WRB_Kawakuchi,"Worth a 10 minute queue and the Euro 10 ( 12 if you do the double ticket with Torre tower) admission fee. Amazing architecture and history. We liked the exhibition showing the history of the monastery in comparison to Portugal history and the history of the world. A special moment for me when I saw the final resting place of Vasco da Gama, having seen his first grave in Cochin, India. His body was moved in 1880 to the Church in the monastery. The church is free entry.","Written March 23, 2016","Kettering, UK",THE highlight of our 2 day visit
AnaF,"The mosnatery is a place full of surprises an hidden treasures. If you are a believer, no matter in what, try to assist a mass on a sunday at 12h. The corus is divine. Next door you can visit the calustros, where you can see how the monks lived. also in the same building more to the left, you have 2 museums, the archeological museum and the maritim museum. Both are really interesting. The forst sunday of each month...you don't have to pay entrance.","Written March 23, 2016","Lisbon, Portugal","An amazing place to pray, to visit, to stay"
BARRY1929,Don't wait in line but visit the spectacular church (free) and the adjacent empty Archeological Museum. ,"Written March 23, 2016","Bourron-Marlotte, France",Queue!!
pramnath,"Close to the Torre de Belem, this is an interesting place to visit when you are in Lisbon.  The architecture is really good and can spend 30 min. All museums have free entrance on first sundays of each month. So do take advantage of that!","Written March 23, 2016",Tuticorin,Interesting visit to the Jeronimo museum
chh19,"I felt as if I was inside of a confection made of stone. A delicate beauty of outstanding proportion, do not miss this place. ","Written March 23, 2016","Las Vegas, NV",Beautiful
Marcia R,"After visiting numerous Cathedrals, Castles and Palaces in both Spain and Portugal, I was surprised that this Mosteiro was still able to take my breath away!","Written March 22, 2016","Calgary, Canada",WOW!
Marloes020,"A must in Lisbon. Beautiful architecture, especially the monastrey is breathtaking. Easy to reach by tram or the train from Cais do Sodre. ","Written March 22, 2016","Amsterdam, The Netherlands",Beautiful!
,,,,
Ann M,"This is an amazing architectural gem, not to be missed. Arrive before 11am to beat the crowds. The Belem area by the river is worth a whole day visit.","Written March 22, 2016","Reading, UK",Ornate architecture
Victoria M,"This monastery is a historical building of great importance in the area close to the mouth of the Tagus. Unfortunately, it is closed on Mondays so please keep this in mind.","Written March 21, 2016","Paris, France",It seems fabulous from the outside
Carlos Grilo,"Built in the 16th century is one of the most important monuments to visit in Lisbon. It takes you back some centuries to the ""Portuguese Golden Era"" of the discoveries. It's a ""national monument"" since 1907 and declared ""World Cultural Heritage"" by UNESCO in 1983. Impossible not visit it !!","Written March 21, 2016","Lisbon, Portugal",Magnificent !!
BST2014,"This monastery is incredibly beautiful, although it got uncomfortably crowded during our visit. We visited the church first - I recommend going directly to the monastery and go early to avoid long ticket lines. The church is free; the monastery is not. This is a ""not to be missed"" part of any visit to Lisbon. Our only complaint was the crowds of poorly-behaved teenagers on what appeared to be local field trips. Oh, and the gypsies hawking cheap sunglasses and scarves at the entrance. They were very aggressive and even made fun of us when we firmly declined their wares.","Written March 21, 2016","Houston, TX",one of our favorite parts of our visit
Cow3girl,I rode the tram down from main square to Belem.  This area is fantastic  I originally was only going to visit the monastery but ended up staying all day as there is so much to see.  The ocean is wonderful.  I was surprised at how much there was to see in the monastery and how well it is maintained.  The only down fall is all the women selling things in the area can be a bit tiresome and some are very persistent.  ,"Written March 21, 2016","Atlanta, GA",Well Preserved site Incredible Architecture
Débora B,"A very, very ancient building, amazing ""facade"", brilliant architecture outside and inside. Large rooms to visit and know about the history of the monastery. So cool!! You'll get impressed as well with the Chapel inside it and the room of the Tomb of Alexandre Herculano. Everything in there is interesting, it's not a boring attraction, and it has a good location: close to Tejo River, and lots of shops and restaurants around!!","Written March 20, 2016",29 contributions,Beautiful and impressive!!
Steve_Grant1,"This is a fantastic monastery. try to keep away from the peak times as it is best seen when ""quiet"". It is stunning and a not to miss site. Keep away from monday as it was closed.","Written March 20, 2016","Oldham, UK",Morning Visit
Henri8888,"This cloister is very impressive indeed. The amount of detail put into every part of the building is very high, and it is worthwhile to explore for 2-3 hours. Entrance fee to the cloister is low (10 euro), with every first sunday free entrance. The church can be entered for free in all cases.","Written March 20, 2016","Prague, Czech Republic",Must see
HTTcyclist,"Manueline style double cloister with access to church upper choir gallery from first floor. Also interesting timeline of Monastery, Portugal and the world since it was built. Cost 10 euros to get in this bit but church downstairs is free to see tomb of Vasco da Gama and some great mitres.","Written March 19, 2016","Hadlow, UK",Two storey cloisters 
Damadub,Architecture here is lovely but because of the number of tours it lacked the atmosphere of a monastery. The timeline boards give a very good insight into the position of the monastery relating to world history,"Written March 19, 2016","Dublin, Ireland",Nice but busy
,,,,
LucyRose2405,"We made the fatal error of deciding to walk to Belém from Santos (a perfectly achievable walk) in the rain....and we were drenched, soggy feet and all, by the time we arrived. However it was worth it. The service at the gate was efficient and they spoke English which was helpful! The monastery itself is spectacular. Intricate carvings and perfect symmetry. There were a few rowdy school groups there while we were there (on a Friday), but it was a large enough attraction you never felt hemmed in. The view over the church was worth the entry! You can enter the church for free, but from the monastery you get to see it from above, and it took your breath away. Beautiful. Incredibly clean and immaculate place...especially considering how many people walk through. ","Written March 19, 2016","Bristol, UK","Horrible weather, lovely location"
Ian565,"Hop the tram off to Belem, get some home made lemonade and then head in to the Monestry to have your spiritual cup filled. The carving in the main building is well worth the visit. Make sure you have your camera","Written March 19, 2016","Gateshead, UK",Wow
Ann_loves_traveling,"The architecture was amazing. Emanuel design I think. The cloisters are a must see, the chapel we peeked at only as mass was taking place. Went on the first Sunday of the month do it was free for both the chapel and cloisters.","Written March 18, 2016","Westport, MA",Stunning Architecture 
carlos3005emlisboa,"Have been there now after a long time ago , and its still impressiv ! I didnt saw any way , if you need a wheelchair f.ex. to access the upper levels , so please check this out if you use a wheelchair . Otherwise , if you are "" fit "" its not a big issue . So , the Single Addult Ticket was 10,Euros just for the Monastery . The Church , as far as i saw is still for free ( and open as long they are no services bcz the church is still in use ) . Otherwise , if there is a service , it could happen that you just get a look to the inside from the upper choir . The Monastery itself its what too see with his rich artwork in stone so please dont expect lots of exhibitionspieces in the inside . And there is not a lot more to say ... Personally , i agree with the most ...its worth it to visit without a doubt and just delight your eyes and feed "" your soul "" .","Written March 18, 2016","Central Portugal, Portugal",Amazing ...!!!
MarketMunchers,Well worth taking a tram to visit this riverside attraction.  In the church you will find the tomb of Vasco da Gama and the builder of this monument to the voyager.   Fine stonework on their tombs and elsewhere inside.,"Written March 18, 2016","Deddington, UK",Worth making time to visit
Nalini XS,"The monastery is one of the most prominent examples of the Portuguese Late Gothic (Manueline style, typical Portuguese, mainly motives with nautical elements), a a UNESCO World Heritage. King Manuel originally funded the project with moneys obtained from trading spices from Asia. An extraordinary architecture. Pay attentions to the details of the portals. Do not miss a visit to the two-storey cloisters. Watch the tombs of illustrious people of the Portuguese history, particularly the tombs of king Manuel I and his wife Maria of Aragon,King João III and his wife Queen Catherine of Austria, navigator Vasco da Gama, poets Luís de Camões and Fernando Pessoa, and so on.","Written March 17, 2016","Lisbon, Portugal",A GEM
OntarioTravel3,"Gothic architecture at its best, I think.  Located in the beautiful town of Belem. It was a rainy day and there were long lines but it was certainly worth the wait.  Such a serene environment.  I believe the entrance fee is 10Euros for adults and free the 1st Sunday of each month. I think there is a certain time for the free admission though.  Here are direction to go to the Monastery by Tram.","Written March 17, 2016","Toronto, Canada",Worth the wait to see this piece of history in Belem
Arnold A,Well preserved building. Plenty of photo opportunities. Witnessed the changing of the guard!! This is  very interestins as it happens every 2 hours. The soldiers stand guard like statues.,"Written March 17, 2016",4 contributions,Weekend to Lisboa
debas82,"Apart from usual stuff, I was enthralled with a live performance by the college students on the first floor corridor. The church in the ground floor is free to enter. Nice decorations. You need ticket to enter the first floor and the other parts. Wort spending some time. Some museums are there in other sides. Didn't explore them.","Written March 17, 2016","Kolkata (Calcutta), India",A must see in Lisbon
Davevallingby,lots of tourists but fantastic place and lots of small restaurants to chill they were pretty quiet as most tourists were on buses,"Written March 17, 2016","Stockholm County, Sweden",really touristy
,,,,
Jil P,We were so suprised by the harmonic and silent athmosphere in it! Because all the other monuments are so crowded and busy...at Mosteiro dos Jéronimus you don't have to wait in line for getting in. And check out the towers at the end. You'll get the best view over the city.,"Written March 16, 2016","Cologne, Germany",It's kind of a secret spot 
Laura H,"Really worth queuing for quite a while! Disturbing that hordes of cruise boat tours  appeared by the thousands, although they are herded through so quickly with their guides, that they had no time to look in any detail! Mass tourism at its worst!!!","Written March 16, 2016","Luxembourg City, Luxembourg",Beautiful
AtlasoftheWorld,Worth visiting for the historical and architectural value. Within walking distance and Close to other museums worth viewing - Marine Museum.,"Written March 15, 2016","Lisbon, Portugal",History
GIlberto E,You may and must visit the church where you will find the tomb of Vasco da Gama and Luis Vaz de Camões. It's the star of manuelino art and architecture style.,"Written March 15, 2016","Pego, Portugal",Great Monument and surroundings
adamjames_85,"It is a little further outside of the main attractions in Lisbon, but it is easy to get to via public transport or a tour bus and it is definitely worth it. The monastery is breathtaking and situated in a great area! ","Written March 15, 2016","London, UK",Beautiful and worth the trip!
Ann,"We had a lovely visit to this church and cloisters.  This is quite a big place so unless you have all day you should probably only visit two places within.  We chose the church and the cloisters.  The church is free and is well worth a tour.  The cloisters are amazing.  Wonderful architecture, beautiful light, loads of information.  ","Written March 15, 2016","Dublin, Ireland",Follow St Jerome
Lidiya S,I loved Portugal and Lisbon and this monastery is a great reminder of how powerful their empire was - stuff like this is build only in prosperous and rich places & times. It may not have the sophistication of the Italian churches but it's really impressive.,"Written March 15, 2016",27 contributions,Great architecture
Susan31960,Beautiful and amazing 15th century church and monastery. Wonderful carvings on the outer walls and in the cloisters. Vasco De Gama's tomb is in the church. ,"Written March 15, 2016","Manchester, UK",Beautiful
Fotos82,The Mosteiro dos Jeronimos made a huge impression on me when I was visiting it. It's definetely mandatory visit when you're in Lisbon. When I was there a part of it was under reconstruction however I could visit the tomb of Vasco da Gama. I was also impressed by the amazing structures and paintings inside the monastery.,"Written March 15, 2016","Ljubljana, Slovenia",Most beautiful monastery in Lisbon
Lorraine K,"We went on a Sunday and the 15 tram to Belem was a long wait and packed to capacity, however well worth the visit","Written March 15, 2016","Derby, UK","Beutiful monastery, truly breathtaking"
,,,,
PaulaCVFB,If you are in Lisbon you can't miss a visit to Mosteiro dos Jerónimos. Such a imponente church with historical meaning.,"Written March 15, 2016",Portugal,Wonderful historical place
ladiesabouttown,"Goes without saying this is an architectural masterpiece, go early in day as it gets very busy. Not a lot else to see or do in the immediate area, and refreshments are therefore very limited. It is walkable from the centre of town, or can be included from the hop on hop off bus. There were quite a few gypsies outside selling usual tatty stuff and begging.","Written March 15, 2016","Harrogate, England, United Kingdom",Awsome
patricia h,"Amazing  cloisters,  very calm and peaceful,  well signposted in both Portuguese and English,  beautiful and inspiring  place,  set in wonderful grounds. ","Written March 15, 2016",accrington,Amazing 
Madalena22,"The architectural style called ""Manuelino"" (a kind of portuguese gothic) is a unique style larged used by King Manuel I (though created before is kingdom, and used long after is death) whose particularities are the use of very specific themes, all around the big theme ""The Discoveries"", where we can see all the the elements related to the sea ande the boats, However, it pretends to bring a larger message, since we can find also elementos related to de popular tradition, the christian tradition, alchimic elements, anda other icons related to the messianic aspirations of the King Manuel. Is main symbol is the ""Esfera Armilar"" who pretends to be the ""Spera Mundi"".","Written March 15, 2016","Lisbon, Portugal",Unique Architectural Style in the World
VFTake5,"Lisboa is fantastic. I think the Portugal is fantastic, but I don't know whole country. ","Written March 15, 2016",Budapest,A piece of history
ChrisinDerby,"Well worth paying the admission to see the full building, it is a fabulous interior, make sure you make the time to visit it.","Written March 15, 2016","Derby, UK",Amazing interior!
Ogi0,The monastery is remarkably both outside and inside. An excellent example of Manueline style. The tombs of Vasco da Gama is here too.,"Written March 14, 2016","Sofia, Bulgaria",You should visit it mandatory if you are in Lisbon
Hollifamer,Before you go to the water from to see Belem.  Go here. Worth the visit.  Very gothic. Stain glass windows amazing with sun coming in. The pillars are carved out indavidually different not one the same. This is were you will find. Vasco da Gama tomb. ,"Written March 14, 2016",Toronto,Jeronimos Monastery.
Claire28,The church on the side of the entrance is gorgeous and the monastery is very spacious so you don't feel crowded at all.,"Written March 14, 2016","Bedfordshire, England",Beautiful monastery
BalintRichter,"This UNESCO World Heritage site is a must for all Lisbon tourists. A real travel into the past, into the history of this beautiful country.","Written March 14, 2016","Cape Town Central, South Africa",A must see in Lisbon
,,,,
graham,Visited this historic attraction by using the yellow bus.  It us a magnificent building inside and out and well preserved.  A very busy attraction and as such would recommend getting there for opening at 10 am,"Written March 14, 2016","Oldham, UK",Magnificent
1TraveltheWorld,"Within walking distance from the monument to the maritime explorers and located next to National Archaeology Museum, you will find, the World Heritage Listed Gothic Monastery, Mosteiro dos Jeronimos.","Written March 14, 2016","Alice Springs, Australia","A Grand, Gothic structure, with great history attached"
posejdon12345,Dont waste the time and money for this attraction. Entrance to the church is free of charge. You may look outside. Nice garden and fountain a front of monastery.,"Written March 13, 2016","Gdansk, Poland",Nothing interesting
Hugh S,Travelled out to Belem on 15E tram on a sunny March morning and the Monastery looked stunning in the sunshine. Fantastic architecture.,"Written March 12, 2016",15 contributions,Stunning
paul e,This church was breathtakingly elaborate with so much historical content.Didnt do the museum due to time limitations,"Written March 12, 2016","Enniskillen, UK",A wonderfully ornate church.
José F,Magnificent Monastery build in Manuelino Style named after the Portuguese King Manuel I which  under his regency the Portugues Empire expanded to the 5 continents.,"Written March 12, 2016","Marchegg, Austria",Touch the History
LeslieR_10,It is well worth a visit. There are many explanatory tiles in English and one gets a sense of Portuguese history,"Written March 12, 2016",Crediton,Great
lauralary,"lovely building, stunning and worth a visit. a quick train trip from Lisbon and you reach the place. Also visit the inside of the church (free entry)","Written March 10, 2016","Zurich, Switzerland",great building in and out
Gil978344,"Worth a visit although quite expensive. We bought a ticket to access monastery and the Belem tower, which saved some time queuing at the tower","Written March 10, 2016","Rotterdam, The Netherlands",Beautiful building
Domingo G,"Nice place to see, even if is not possible to get in.","Written March 9, 2016",Rome,Manostero dos Jerónimos
,,,,
miriam12Kildare,A Saturday night out with a fantastic choice of food and athmosphere spending time going around each food emporium and the choice is huge. ,"Written March 8, 2016","County Kildare, Ireland",Great night and athmosphere
Anne v,"Amazing architecture and such a peaceful atmosphere. The entrance fee is worth it. Not all of the rooms are open to the public, but there is plenty to see. There is also a nice exposition showing the history of Portugal and the Mosteiro. ","Written March 8, 2016","The Hague, The Netherlands",Beautiful
RPAGGARWAL,"It's a Grand, historical cathedral and monastery with the tombs of Vasco de Gama. It has been built  with detailed & architectural stone work. Free to enter, when mass is not in session. Located near the shore of the parish of Belém, at the entrance of Lisbon Harbour.  It was classified a UNESCO World Heritage Site, along with the nearby Tower of Belém, in 1983.","Written March 8, 2016","New Delhi, India",Historic Grand Monastery
paul k,A really wonderful visit that probably should be the highlight of anyone's trip to Lisbon.,"Written March 8, 2016","Liverpool, UK",beautiful
Debi C,"In Lisbon many museums are open for free on the first sunday of the month! I didnt know this, we just got lucky.. if you are there jump on bus 15 out to Belem where it drops you next to the Mosteiro.. well worth it.. beautiful old building, interesting exibhits.. and a pasteleria very near that had queues half way down the street.. must be good","Written March 7, 2016","London, UK",1st Sunday of the month!
Lisa B,"Worth the 10 euros to go in as peaceful, ornate and beautiful inside with some informative displays on the history of Lisbon and Portugal on a timeline with the rest of the world. Great photo opportunities and although busy you can find a quite nook to enjoy the scenery.","Written March 7, 2016","Higham, UK",Beautiful monstatery
admirerItaly,"You can use Lisboa card for free visit to this beatiful place.Even to reach it by train also for free with Lisboa card.We were impressed with monumental,stone architecture and ","Written March 6, 2016",Odessa,Perfect attraction
angorfa60,Although closed as it was a Monday a was very impressive from the outside Would go back in order to visit the whole building,"Written March 6, 2016","Llanelli, UK",Mosterio dos Jeronimos impressive
Gianni,You have to visit this magnificent monastery.  Use your Lisboa Card if you have one.  I was really impressed with the details on the building structure.  ,"Written March 5, 2016","Flushing, NY",Magnificent monastery
Chris H,"You can get to Mosteiro dos Jeronimos via the number 15 tram, and it is a nice little ride, and free with the Lisbon Card. I didn't get the chance to take the museum tour, but inside the main Monastery is quite a sight, and one I am very glad I got to see!","Written March 5, 2016","Taunton, UK",One to take a look at if you can!
,,,,
Waltercoppe,Buy your ticket at the other entrance..no queu. Impressing architecture. Unesco classified. Good quality for the money you pay.,"Written March 5, 2016","Essen, Belgium",Must see
Sara_Beee,Didn't go inside since we were busy eating pasteis. You can't take one shot of the whole monastery at once. Very nice,"Written March 5, 2016","Antwerp, Belgium",Beauty
brn2fly,"Grand, historical cathedral and monastery with the tombs of Vasco de Gama and much of the royal family.  ","Written March 5, 2016","Zapopan, Mexico",One of the most important Portuguese landmarks
Jenny A,The cloister of the monastery is truly amazing. Beautifully and in small detail decorated stone walls and pilars were absolutely beautiful. Also the chapel was quite nice. ,"Written March 4, 2016","Tampere, Finland",Beautiful monastery but I expected it to be bigger on the inside
Aisling C,One of the highlights of our trip. Well worth a visit and discounted student entry was a bonus! Very impressive and a must see for anyone visiting Lisbon. Catch the 15 tram from central Lisbon. It is worth buying tram tickets at a 'paypoint' available in shops before travel as it is much cheaper than buying the tickets on the tram. ,"Written March 4, 2016","Mahboula, Kuwait",Superb
Meja,"I was too late to go in the monastery, as it was already 17.00 o'clock. But I did go in the church, which was very nice. The building is really nice and has a serene appearance. Definitely worth the visit, although the Belem-area is a bit overrated... ","Written March 4, 2016",109 contributions,Very pretty building
Suresh C,"From Rossio square or Lisbon square,  we took a (crowded) tram to reach Belem in around 30 minutes. Jeronimos monastery is beautiful - outside is white and magnificient, inside had square shapped corridor - glittered in gold color structures. Our key expectation of this trip was to visit Vasco Da Gamma, after all he came so far to reach our India. He was resting in peace here at this monastery church . Cathedral was very beautiful inside and outside. We walked all the way upto Discovery monument (not very far) which looked like a boat in one side and a big sword at the front. From this place, all of Belem tower, Discovery monument, San Franciso replica Bridge and Brazil replica Jesus were visible and presents a beautiful look.   Dont miss to try a Portugal sweet dish from Pasteis de Belem and it was really tasty. Fountain in front of Jeronimos Monastery is huge and very beautiful. On return we took a taxi and it came around 9 Euros as we waited for tram for long and it did not turn up. This place should not be missed if you are coming to Lisbon.","Written March 4, 2016","Charlotte, North Carolina, United States",Best of Belem and Portugal - must to visit here and around!
Jenna T,Beautiful church (which was free to enter) and great monestary.  Was a neat visit and the tart place was close by to refuel. ,"Written March 4, 2016",9 contributions,Monestary
Andrew H,Number 15 tram from Praça de Figueres takes you right there.  Ignore what your old guidebook says about it being free to enter on Sundays.,"Written March 4, 2016","Southend-on-Sea, UK",Jaw-droppingly beautiful
Philippe G,"Breath taking views. And stones. Man, stones they carved like it was wood. Just take a wall, follow the corridors, look at everything.","Written March 3, 2016","Nice, France",amazing carved stones
,,,,
JeanneauM,"Well worth paying to see the whole building and archeological section. The tower is also worth paying for.  There is a military museum, not mentioned in my guide book that was worth a visit as we were in the area","Written March 3, 2016",Medstead,Really interesting
Pdepetsicos,Splendid monastery full of History. The architecture is impressive and quite unique.  Read of it before you go. Don't miss the surroundings,"Written March 3, 2016","Lisbon, Portugal",Amazing monument
Patepping,Interesting place with nicely prepared educational components.  Quite far from town and near the costline.There is no metro station nearby but there is overground train station.We had to buy additional ticket as 24h ticket didn't cover overground. Beautiful piece of architecture worth every penny.,"Written March 1, 2016",Epping,Beautiful  place
RichardBerry,"Although we went on a wet,cold Febuary day the numbers of visitors were still slightly too many for an un ticked venue to hold .","Written March 1, 2016","Faringdon, UK","A Lisbon ""Kodak crack"" therefore yes a must to see"
petere1234,We paid 12 euro each to go in definitely over priced you can go into the church for free which is recommended. ,"Written March 1, 2016",UK,Over priced
Aidan O,Worth the trip down the Belem area just for this...we were lucky enough that the South Portal was open when we visited.... stunning entrance. And well worth to pay the extra few euros for entrance out to the Cloisters.,"Written March 1, 2016",73 contributions,Spectacular to visit.
John B,"Some stunning architecture, and a very interesting timeline display which puts the monastery in context of Lisbon and European history. ","Written March 1, 2016","Calver, UK",Remarkable place
Bomba1978,"This place is amazing!  The detail on everything, I can't imagine the hours put into all the work to make it so beautiful.  Kids might find it boring, but anyone who appreciates architecture should see this place.  A short taxi or tuk-tuk ride from the Belem Tower (which is a short train ride from Lisbon), easy to combine in a visit.  Highly recommend as it is really breath-taking to see the detail put into everything.","Written February 29, 2016","Knoxville, Tennessee",Amazing - must see!
F6_fr,A must see in Lisboa.,"Written February 29, 2016","Le Mans City, France",Incontournable
Adventure1234,A very beautiful and interesting building with English and Spanish information available. It's also very close to Pastéis de Belem. (The oldest pastela shop),"Written February 29, 2016","London, UK",Worth the entrance fee.
,,,,
felicityjg1,We visited this monastary on a cold and very wet day.  It was an excellent way to spend an hour or so.  ,"Written February 29, 2016","Cobham, UK",Definitely worth a visit
